City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Sioux Lookout,CA,2019-12-29 05:49:51,50.1,-91.92,15.8,92,90,4.7
141,Togur,RU,2019-12-29 05:49:52,58.36,82.83,-4.34,85,100,1.9
142,Mecca,SA,2019-12-29 05:42:20,21.43,39.83,68.59,47,13,2.33
143,Vaitape,PF,2019-12-29 05:45:44,-16.52,-151.75,81.07,73,100,10.83
144,Mogadishu,SO,2019-12-29 05:47:08,2.04,45.34,82.4,69,75,11.41
145,Alofi,NU,2019-12-29 05:49:52,-19.06,-169.92,77.95,85,100,17.92
146,Portland,US,2019-12-29 05:49:53,43.66,-70.25,37.4,64,1,8.05
147,Isangel,VU,2019-12-29 05:46:10,-19.55,169.27,84.2,70,40,19.46
148,Chuy,UY,2019-12-29 05:49:54,-33.69,-53.46,71.87,93,100,4.16
149,Cockburn Town,TC,2019-12-29 05:49:54,21.46,-71.14,78.12,81,68,25.57
150,Port Blair,IN,2019-12-29 05:49:54,11.67,92.75,80.51,78,1,13.49
151,Port Augusta,AU,2019-12-29 05:49:54,-32.49,137.76,102.0,17,58,4.0
152,Cedar City,US,2019-12-29 05:49:55,37.68,-113.06,21.2,67,90,5.82
153,Arraial Do Cabo,BR,2019-12-29 05:49:55,-22.97,-42.02,75.15,90,0,13.2
154,Villamontes,BO,2019-12-29 05:49:55,-21.26,-63.47,70.0,90,100,2.04
155,Aksha,RU,2019-12-29 05:49:55,50.28,113.29,-1.86,77,79,8.79
156,Neuquen,AR,2019-12-29 05:45:27,-38.95,-68.06,75.2,38,0,6.93
157,Carutapera,BR,2019-12-29 05:49:56,-1.2,-46.02,82.18,79,94,15.79
158,Chimore,BO,2019-12-29 05:49:56,-16.98,-65.13,70.57,97,100,1.28
159,Dunedin,NZ,2019-12-29 05:49:56,-45.87,170.5,59.0,82,100,5.99
160,Shimoda,JP,2019-12-29 05:49:56,34.7,138.93,53.6,50,20,10.29
161,Sedona,US,2019-12-29 05:49:56,34.87,-111.79,30.0,68,1,8.05
162,Rio Gallegos,AR,2019-12-29 05:47:40,-51.62,-69.22,53.6,58,87,16.11
163,Talaya,RU,2019-12-29 05:49:57,55.79,84.89,-11.2,76,100,4.47
164,Tuatapere,NZ,2019-12-29 05:45:59,-46.13,167.69,63.0,80,100,11.99
165,Dabat,ET,2019-12-29 05:49:57,12.98,37.77,60.03,35,54,3.15
166,Hetauda,NP,2019-12-29 05:49:57,27.43,85.03,55.4,50,20,3.36
167,Saint-Philippe,CA,2019-12-29 05:45:47,45.36,-73.48,32.0,76,1,3.36
168,Geri,CN,2019-12-29 05:49:58,35.67,100.55,23.72,14,8,10.8
169,San Patricio,PY,2019-12-29 05:49:58,-26.98,-56.83,82.44,50,25,5.01
170,Tuktoyaktuk,CA,2019-12-29 05:45:26,69.44,-133.03,-31.0,66,40,11.41
171,Leshukonskoye,RU,2019-12-29 05:46:06,64.9,45.76,15.55,77,99,13.98
172,Palana,RU,2019-12-29 05:49:59,59.08,159.95,3.2,73,0,6.17
173,Norman Wells,CA,2019-12-29 05:49:59,65.28,-126.83,-20.2,68,75,14.99
174,Kupang,ID,2019-12-29 05:50:00,-10.16,123.6,86.0,79,75,14.99
175,Maniitsoq,GL,2019-12-29 05:50:00,65.42,-52.9,20.93,51,99,9.78
176,Odessa,US,2019-12-29 05:48:05,31.85,-102.37,44.6,48,1,11.41
177,Geraldton,CA,2019-12-29 05:50:00,49.72,-86.95,17.6,85,90,6.93
178,Hurricane,US,2019-12-29 05:46:06,37.18,-113.29,33.8,58,1,5.82
179,Acapulco,MX,2019-12-29 05:50:01,16.86,-99.88,80.6,83,20,5.82
180,Aykhal,RU,2019-12-29 05:50:01,65.95,111.51,-18.4,75,75,4.47
181,Tateyama,JP,2019-12-29 05:46:14,36.66,137.31,54.0,43,75,1.12
182,Torbay,CA,2019-12-29 05:50:05,47.66,-52.73,32.0,92,90,14.99
183,Vila,IT,2019-12-29 05:50:05,45.18,8.4,37.99,100,75,2.24
184,Solnechnyy,RU,2019-12-29 05:50:05,50.72,136.64,-11.87,98,2,3.13
185,Victoria,BN,2019-12-29 05:50:05,5.28,115.24,87.8,74,75,5.82
186,College,US,2019-12-29 05:50:05,64.86,-147.8,-9.4,76,90,4.7
187,Tasiilaq,GL,2019-12-29 05:50:06,65.61,-37.64,30.2,54,99,12.75
188,Hasaki,JP,2019-12-29 05:50:06,35.73,140.83,55.99,46,20,8.05
189,Aksarka,RU,2019-12-29 05:45:24,66.56,67.8,16.75,82,100,18.66
190,Chhuikhadan,IN,2019-12-29 05:50:07,21.52,81.0,64.85,25,0,7.23
191,Nyaunglebin,MM,2019-12-29 05:50:07,17.95,96.73,86.81,45,19,4.54
192,Faanui,PF,2019-12-29 05:45:55,-16.48,-151.75,81.07,73,100,10.83
193,Wakkanai,JP,2019-12-29 05:50:07,45.41,141.67,23.0,73,75,17.22
194,Mnogovershinnyy,RU,2019-12-29 05:50:08,53.94,139.92,-7.6,87,100,6.2
195,Russell,US,2019-12-29 05:50:08,38.9,-98.86,35.6,100,90,14.99
196,Tripoli,GR,2019-12-29 05:50:08,37.51,22.37,48.99,45,40,9.17
197,Palmer,AU,2019-12-29 05:50:08,-34.85,139.16,104.0,39,20,10.29
198,Genhe,CN,2019-12-29 05:50:09,50.78,121.52,-7.31,81,7,5.14
199,Constitucion,MX,2019-12-29 05:46:03,23.99,-104.67,48.99,66,100,7.0
200,Longyearbyen,NO,2019-12-29 05:50:09,78.22,15.63,15.8,66,40,18.34
201,Chokurdakh,RU,2019-12-29 05:50:09,70.62,147.9,-34.83,90,0,6.78
202,Cape Town,ZA,2019-12-29 05:50:09,-33.93,18.42,72.0,60,20,4.7
203,Saint-Ambroise,CA,2019-12-29 05:50:10,48.56,-71.32,26.6,92,75,12.75
204,Airai,TL,2019-12-29 05:46:08,-8.93,125.41,79.9,73,89,2.95
205,Butaritari,KI,2019-12-29 05:45:42,3.07,172.79,83.77,79,40,13.96
206,Bansbaria,IN,2019-12-29 05:50:10,22.97,88.4,64.4,59,0,8.05
207,Kiruna,SE,2019-12-29 05:50:11,67.86,20.23,30.2,86,68,18.34
208,Vardo,US,2019-12-29 05:46:03,39.62,-77.74,46.99,100,1,2.51
209,Izmir,TR,2019-12-29 05:50:11,38.42,27.14,44.6,56,75,14.99
210,Bonavista,CA,2019-12-29 05:50:11,48.65,-53.11,32.0,87,100,8.99
211,Macomb,US,2019-12-29 05:45:43,40.46,-90.67,59.0,100,90,19.46
212,Rongcheng,CN,2019-12-29 05:50:12,37.16,122.42,41.0,65,100,1.01
213,Port Hardy,CA,2019-12-29 05:50:12,50.7,-127.42,44.6,81,90,19.46
214,Baikunthpur,IN,2019-12-29 05:50:12,23.26,82.56,67.32,20,0,2.33
215,San Luis,AR,2019-12-29 05:50:12,-33.3,-66.34,77.29,71,88,15.97
216,Aklavik,CA,2019-12-29 05:50:12,68.22,-135.01,-29.2,66,40,2.24
217,Mata,PT,2019-12-29 05:50:13,40.68,-7.46,50.0,83,0,1.99
218,Atar,MR,2019-12-29 05:50:13,20.52,-13.05,60.62,15,0,9.64
219,Vung Tau,VN,2019-12-29 05:50:13,10.35,107.08,85.35,54,0,10.25
220,Yar-Sale,RU,2019-12-29 05:45:58,66.83,70.83,13.53,86,99,14.38
221,Sitka,US,2019-12-29 05:50:14,37.17,-99.65,32.0,92,26,13.0
222,Khasan,RU,2019-12-29 05:50:14,42.43,130.64,24.4,88,100,2.3
223,Rawson,AR,2019-12-29 05:50:15,-43.3,-65.11,61.65,58,0,6.24
224,Verkhoyansk,RU,2019-12-29 05:50:15,67.55,133.39,-36.27,82,0,1.34
225,Zhigansk,RU,2019-12-29 05:50:15,66.77,123.37,-32.04,92,97,18.16
226,Cabo San Lucas,MX,2019-12-29 05:45:10,22.89,-109.91,64.99,72,75,4.7
227,Shelburne,CA,2019-12-29 05:50:16,44.08,-80.2,33.01,78,90,3.06
228,Grindavik,IS,2019-12-29 05:46:10,63.84,-22.43,41.0,93,90,16.11
229,Dauphin,CA,2019-12-29 05:50:16,51.15,-100.04,1.4,91,1,8.05
230,Fukue,JP,2019-12-29 05:50:16,35.03,136.69,54.0,48,75,4.7
231,Los Llanos De Aridane,ES,2019-12-29 05:50:17,28.66,-17.92,70.0,55,78,9.17
232,Tezu,IN,2019-12-29 05:50:17,27.93,96.16,69.62,24,0,3.56
233,Kalmunai,LK,2019-12-29 05:50:17,7.42,81.82,80.33,70,76,12.57
234,Innisfail,AU,2019-12-29 05:50:18,-17.52,146.03,75.99,77,5,7.0
