City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Darab,IR,52.41,clear sky,28.75,54.55,Naghshe shapoor Hotel
212,Ternate,PH,80.6,broken clouds,14.29,120.72,Puerto Azul Clubhouse
213,Byron Bay,AU,73.0,scattered clouds,-28.65,153.62,Backpackers Inn on the Beach
214,Podporozhye,RU,22.48,overcast clouds,60.91,34.16,U Maksimycha
215,Grand Gaube,MU,77.0,light intensity shower rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
216,Severo-Kurilsk,RU,25.45,light snow,50.68,156.12,Kak Doma
217,Hualmay,PE,79.02,scattered clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
218,Paamiut,GL,23.88,few clouds,61.99,-49.67,Yeet Hotel
219,Marion,US,55.99,light rain,35.21,-90.2,Hallmarc Inn
220,Mulege,MX,62.02,clear sky,26.88,-111.98,Casa Granada
221,Pacific Grove,US,51.01,broken clouds,36.62,-121.92,Lovers Point Inn
222,Avarua,CK,77.0,light rain,-21.21,-159.78,Paradise Inn
224,Breytovo,RU,22.71,overcast clouds,58.3,37.86,Inn in Breytovo
225,Wuhan,CN,42.8,mist,30.6,114.3,Novotel Wuhan Xinhua Hotel
226,New Norfolk,AU,61.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
227,Conway,US,55.4,overcast clouds,35.09,-92.44,"Country Inn & Suites by Radisson, Conway, AR"
228,Fortuna,US,48.99,light rain,40.6,-124.16,Super 8 By Wyndham Fortuna
229,Bafq,IR,50.13,clear sky,31.6,55.4,Alamdar Hotel
230,Cidreira,BR,76.64,broken clouds,-30.17,-50.22,Pond Country Club
231,Saint-Pierre,FR,39.99,broken clouds,48.95,4.24,Auberge des Moissons
232,Grindavik,IS,37.4,broken clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
234,Ossora,RU,0.88,clear sky,59.24,163.07,
235,Mackenzie,CA,23.0,overcast clouds,55.34,-123.09,Williston Lake Lodge
236,Nhulunbuy,AU,82.4,broken clouds,-12.18,136.78,Gove Peninsula Motel
237,San Cristobal,HN,80.89,broken clouds,14.68,-86.92,
238,Aleksandrov Gay,RU,23.31,overcast clouds,50.14,48.57,
239,Pustoshka,RU,22.66,scattered clouds,56.34,29.37,Yubileinaya Hotel
240,Prince Albert,CA,1.4,fog,53.2,-105.75,Holiday Inn Express & Suites Prince Albert
241,Romulus,US,46.4,moderate rain,42.22,-83.4,Comfort Inn Metro Airport
242,Saint-Augustin,CA,34.0,broken clouds,45.63,-73.98,Chez Felicia
243,Rey Bouba,CM,76.98,broken clouds,8.67,14.18,
244,Maniitsoq,GL,20.34,overcast clouds,65.42,-52.9,
245,Lufilufi,WS,80.98,light rain,-13.87,-171.6,Leuaina Beach Resort and Spa
247,Veraval,FR,39.2,broken clouds,49.65,0.71,Le Manoir aux Vaches
248,Kazaki,RU,23.83,clear sky,52.62,38.27,
249,Oum Hadjer,TD,70.65,clear sky,13.3,19.7,
250,Wentzville,US,57.99,overcast clouds,38.81,-90.85,Fairfield Inn & Suites by Marriott St. Louis West/Wentzville
251,Kiama,AU,70.0,overcast clouds,-34.67,150.86,The Sebel Kiama Harbourside
253,Vostok,RU,17.06,snow,46.45,135.83,
254,Pedernales,EC,80.33,broken clouds,0.07,-80.05,L'Vanna Hotel
256,Sines,PT,60.01,clear sky,37.96,-8.87,Hotel Sinerama
258,Diapaga,BF,78.93,clear sky,12.07,1.79,
260,Victoria,BN,82.4,broken clouds,5.28,115.24,Tiara Labuan Hotel
261,Cintalapa,MX,85.39,broken clouds,16.7,-93.73,Casa Blanca Hotel Hacienda
262,Sabha,LY,51.03,broken clouds,27.03,14.43,محطة سفر غات
263,Los Alamos,US,21.99,overcast clouds,35.88,-106.3,Holiday Inn Express & Suites Los Alamos Entrada Park
264,Gallup,US,14.0,clear sky,35.53,-108.74,El Capitan Motel
265,Lata,IN,16.29,overcast clouds,30.78,78.62,"The Goat Village, Dayara Bugyal"
266,Kijang,KR,41.0,light rain,35.24,129.21,Brown Dot Gijang Yeonhwari
267,Mikkeli,FI,30.99,overcast clouds,61.69,27.27,"Original Sokos Hotel Vaakuna, Mikkeli"
268,Poros,TR,39.2,scattered clouds,40.9,26.22,Mitropolis Hotel
269,Sitka,US,33.01,clear sky,37.17,-99.65,
270,Waipawa,NZ,55.99,clear sky,-39.94,176.59,T A Commercial Hotel
272,Singapore,MY,80.6,broken clouds,1.29,103.85,The Fullerton Hotel Singapore
273,Kungsbacka,SE,44.01,fog,57.49,12.08,Hotell Halland AB
274,Thompson,CA,3.2,light snow,55.74,-97.86,Burntwood Hotel
275,Moshenskoye,RU,20.98,broken clouds,58.52,34.59,
276,Arman,RU,10.35,overcast clouds,59.7,150.17,
277,Tual,ID,83.53,moderate rain,-5.67,132.75,Grand Vilia Hotel
278,Olinda,AU,72.0,scattered clouds,-37.84,145.39,Mary Cards Coach House
279,Constitucion,MX,54.0,scattered clouds,23.99,-104.67,Hotel Posada San Agustin
280,Hobyo,SO,79.02,broken clouds,5.35,48.53,
281,Port Macquarie,AU,70.0,clear sky,-31.43,152.91,Rydges Port Macquarie
282,Bama,CN,56.21,overcast clouds,24.14,107.25,City Comfort Inn Hechi Central Plaza Branch
283,Bathsheba,BB,86.0,shower rain,13.22,-59.52,Atlantis Hotel
284,Kontagora,NG,79.2,clear sky,10.4,5.47,City Gate Inn
285,Alice Springs,AU,87.8,broken clouds,-23.7,133.88,Desert Palms Alice Springs
286,Tarakan,ID,80.69,light rain,3.3,117.63,Hotel D' CaLia Tarakan
287,Mecca,SA,68.76,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
288,Abalak,NE,69.35,clear sky,15.46,6.28,auberge de tenere
289,Kaputa,ZM,66.85,light rain,-8.47,29.66,Chilekwa Lodge
290,Mianyang,CN,44.49,broken clouds,31.46,104.75,Xinsheng Hotel
291,Yarim,YE,55.89,clear sky,14.3,44.38,بقاله ابو محظار
292,Arlit,NE,70.97,clear sky,18.74,7.39,Hôtel Telwa Bungalow
293,Nago,IT,39.99,mist,45.88,10.89,Hotel Garda
294,Letlhakeng,BW,75.58,broken clouds,-24.1,25.03,Tokey's Lodge
295,Alofi,NU,77.0,broken clouds,-19.06,-169.92,Taloa Heights
297,Mizdah,LY,43.41,light rain,31.45,12.98,فندق بنيه تحتيه
300,Visnes,NO,46.99,shower rain,59.36,5.22,Park Inn Haugesund Airport
301,Qaqortoq,GL,26.6,broken clouds,60.72,-46.03,Hotel Qaqortoq
303,Buala,SB,77.45,clear sky,-8.15,159.59,Maringe Lagoon Lodge
304,Nishihara,JP,50.0,overcast clouds,35.74,139.53,Citytel Musashisakai
305,Tessalit,ML,70.5,clear sky,20.2,1.01,
306,Luau,CD,67.53,moderate rain,-10.7,22.23,Kimbo Hotel
307,Morehead,US,60.01,moderate rain,38.18,-83.43,Hampton Inn Morehead
308,Roald,NO,50.0,shower rain,62.58,6.12,Flem Cabins
309,Zelenoborskiy,RU,34.97,overcast clouds,66.84,32.36,Turisticheskaya baza
312,Leh,IN,6.73,few clouds,34.16,77.58,Hotel Ladakh Greens
313,Kyshtovka,RU,4.24,light snow,56.56,76.62,Uyutnaya Mini-Hotel
314,Ploemeur,FR,46.99,scattered clouds,47.73,-3.43,Best Western Plus Hotel Les Rives Du Ter
315,Madimba,CM,86.0,haze,4.42,9.93,
316,Eugene,US,42.01,shower rain,44.05,-123.1,Valley River Inn
318,Poum,MK,30.2,broken clouds,41.28,20.71,Dolno Tateši
319,Slave Lake,CA,8.6,clear sky,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
320,Hasaki,JP,42.8,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
321,Pascagoula,US,73.4,mist,30.37,-88.56,Regency Inn
322,Opuwo,,81.05,broken clouds,-18.06,13.84,ABBA Guesthouse
323,Oranjemund,ZA,61.83,clear sky,-28.55,16.43,Sperrgebiet Guest House
324,Palmer,AU,87.01,scattered clouds,-34.85,139.16,Palmer Hotel
325,Holme,DK,44.6,mist,56.11,10.17,Helnan Marselis Hotel
326,Lewistown,US,55.99,broken clouds,40.39,-90.15,Big Horse Inn & Suites
327,Aksarka,RU,12.54,overcast clouds,66.56,67.8,
328,Huinan,CN,1.72,light snow,42.68,126.04,Dongyuan Hotel
330,Altamont,CA,14.0,broken clouds,49.4,-98.5,Altamont Hotel
333,Panaba,MX,81.0,overcast clouds,21.28,-88.27,Hotel California
334,Jieshi,CN,64.99,light rain,22.82,115.83,Yuehai Hotel
335,Matara,BI,59.9,light rain,-3.48,29.48,
336,Kilindoni,TZ,81.82,heavy intensity rain,-7.91,39.67,Bustani B&B
337,Chifeng,CN,2.39,clear sky,42.27,118.96,Junyu Tiancheng Hotel
338,George Town,MY,82.4,few clouds,5.42,100.33,Cititel Penang
339,Vyyezdnoye,RU,16.68,broken clouds,55.38,43.79,Hotel Lyuks
341,Bilma,NE,62.69,clear sky,18.69,12.92,Expeditions Ténére voyages
342,Margate,AU,61.0,overcast clouds,-43.03,147.26,Villa Howden
343,Dedougou,BF,83.97,clear sky,12.47,-3.47,Hôtel Bon Séjour
344,Acapulco,MX,82.4,scattered clouds,16.86,-99.88,Crowne Plaza Acapulco
345,Felipe Carrillo Puerto,MX,81.97,overcast clouds,19.58,-88.05,Hotel La Ceiba
346,Palmas Bellas,PA,86.0,few clouds,9.23,-80.09,Estación de Chagres
347,Gizo,IL,60.8,few clouds,31.8,34.94,בקתות לשקיעה
348,Sfantu Gheorghe,RO,36.0,broken clouds,44.65,26.83,Motel Valentina
349,Havre-Saint-Pierre,CA,19.4,light snow,50.23,-63.6,Auberge Niapiskau
350,Changji,CN,46.67,overcast clouds,32.07,116.17,Jinjiang Business Express Hotel
352,Sao Joao Da Barra,BR,86.0,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
353,Tiarei,PF,77.0,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
354,Vardo,US,48.99,moderate rain,39.62,-77.74,Holiday Inn Express & Suites Hagerstown
